!address -f:PAGE_READWRITE

10000 20000
7c000 7f000
7f000 a0000
c0000 c2000
115000 118000
118000 120000
155000 158000
158000 160000
180000 188000
1c5000 1c8000
1c8000 1d0000
1dd000 1f2000
30c000 30d000
30d000 310000
310000 313000
313000 316000
316000 319000
319000 31c000
31c000 31f000
31f000 322000
322000 325000
325000 328000
328000 32b000
32b000 32c000
32f000 331000
331000 334000
334000 335000
338000 33a000
33a000 33d000
33d000 340000
340000 343000
343000 346000
346000 349000
349000 34c000
34c000 34d000
350000 352000
352000 355000
355000 356000
819000 81a000
84a000 84b000
8f0000 8f1000
8fa000 8fb000
94b000 94c000
955000 956000
960000 961000
99e000 99f000
9cb000 9d1000
b09000 b0a000
b0b000 b0c000
b14000 b15000
b84000 b85000
b98000 b99000
bb6000 bb7000
bc3000 bc4000
bd8000 bd9000
bdd000 bde000
bf0000 bf1000
bfb000 bfc000
bfe000 bff000
c06000 c0a000
c0b000 c0e000
c10000 c12000
c16000 c1e000
c1f000 ecb000
ed9000 eda000
1103000 114a000
1581000 1583000
1583000 1650000
1661000 1668000
167b000 167e000
169f000 16a0000
16a1000 16a2000
16aa000 16b7000
16d0000 16d1000
16e0000 17df000
1dac000 1dae000
1dae000 1db0000
22ac000 22ae000
22ae000 22b0000
27ac000 27ae000
27ae000 27b0000
2868000 2869000
2ba0000 2ba2000
2c7d000 2c7e000
2c84000 2c85000
2cdd000 2ced000
2d74000 2d75000
2d93000 2d95000
2d9c000 2d9d000
2dae000 2daf000
2dd7000 2dee000
2def000 2e01000
2e02000 2e06000
2e10000 2e12000
2e28000 2e2d000
2e3c000 2f4a000
2f8a000 2f8b000
2f8d000 2f98000
303c000 303e000
3043000 3045000
3047000 3049000
3061000 3068000
3192000 3195000
3196000 31aa000
31af000 31b0000
32d1000 32d2000
32d4000 32e9000
32f0000 32f1000
3346000 3347000
3349000 3354000
33e2000 33e4000
33f1000 3401000
3403000 3404000
4bc0000 4bc1000
4bd0000 4bd1000
4be0000 4be3000
4c25000 4c28000
4c28000 4c30000
4c40000 4c41000
4c50000 4c5f000
4c60000 4c61000
4c70000 4c72000
4c80000 4c90000
5080000 5090000
5480000 55c0000
55f5000 55f8000
55f8000 5600000
5635000 5638000
5638000 5640000
5650000 5651000
5660000 5661000
5670000 5671000
5680000 5690000
5a80000 5bc0000
5bc0000 5d00000
5d00000 62b8000
67bc000 67be000
67be000 67c0000
6cbc000 6cbe000
6cbe000 6cc0000
71bc000 71be000
71be000 71c0000
71f5000 71f8000
71f8000 7200000
76fc000 76fe000
76fe000 7700000
7700000 7840000
7840000 78d9000
78e0000 7a20000
7a20000 7b60000
7b60000 7ca0000
7ca0000 7de0000
8170000 8171000
81f0000 81ff000
8200000 8340000
8430000 8553000
8553000 8554000
8554000 8570000
8570000 86b0000
86b0000 87f0000
87f0000 8930000
8930000 8a70000
9020000 9021000
9085000 9088000
9088000 9090000
958c000 958e000
958e000 9590000
95c5000 95c8000
95c8000 95d0000
9acc000 9ace000
9ace000 9ad0000
9ad0000 9c10000
9c10000 9c56000
9c60000 9ca6000
9cb0000 9cb1000
9cc0000 9cc1000
9cd0000 9cd1000
9ce0000 9ce1000
9cf0000 9cf3000
9d00000 9d01000
9d10000 9d11000
9d20000 9d23000
9d30000 9d31000
9d40000 9d42000
9d50000 9d51000
9d60000 9d61000
9d70000 9d72000
9d80000 9d81000
9d90000 9d91000
9da0000 9da1000
9db0000 9db1000
9dc0000 9dc1000
9dd0000 9e16000
9e20000 9e66000
9e70000 9e71000
9e80000 9e82000
9e90000 9e91000
9ea0000 9ea1000
9eb0000 9eb2000
9ec0000 9ec1000
9ed0000 9ed1000
9ee0000 9ee1000
9ef0000 9ef1000
9f00000 9f01000
9f10000 9f11000
9f20000 9f21000
9f30000 9f32000
9f40000 9f42000
9f50000 9f52000
9f60000 9f62000
9f70000 9f72000
9f80000 9f82000
9f90000 9f92000
9fa0000 9fa2000
9fb0000 9fb2000
9fc0000 9fc2000
9fd0000 9fd2000
9fe0000 9fe2000
9ff0000 9ff2000
a000000 a002000
a045000 a048000
a048000 a050000
a54c000 a54e000
a54e000 a550000
a585000 a588000
a588000 a590000
aa8c000 aa8e000
aa8e000 aa90000
aa90000 aa91000
aaa0000 aaa1000
aab0000 aab1000
aac0000 aac1000
aad0000 aad1000
aae0000 aae2000
aaf0000 aaf1000
ab00000 ab01000
ab10000 ab12000
ab20000 ab22000
ab30000 ab31000
ab40000 ab41000
ab50000 ab51000
ab60000 ab61000
ab70000 ab71000
ab80000 ab81000
ab90000 ab91000
abd5000 abd8000
abd8000 abe0000
ac15000 ac18000
ac18000 ac20000
ac55000 ac58000
ac58000 ac60000
ac60000 ada0000
add5000 add8000
add8000 ade0000
adf0000 adf1000
ae00000 ae01000
ae10000 ae12000
af45000 af48000
af48000 af50000
af85000 af88000
af88000 af90000
af90000 af91000
afa0000 afa1000
afb0000 afb1000
afc0000 afc1000
afd0000 afd1000
afe0000 afe1000
aff0000 aff1000
b000000 b001000
b020000 b021000
b0b0000 b0b1000
b8c0000 b8c1000
b8d0000 b8d1000
b915000 b918000
b918000 b920000
b920000 b921000
b930000 b931000
b940000 b941000
b950000 b951000
b960000 b961000
b970000 b971000
b980000 b984000
b990000 b991000
b9a0000 b9a1000
b9b0000 b9b1000
b9c0000 b9c1000
b9d0000 b9d2000
b9e0000 b9e2000
b9f0000 b9f2000
ba00000 ba02000
ba10000 ba12000
ba20000 ba22000
ba30000 ba31000
ba40000 ba41000
ba50000 ba51000
ba60000 c249000
d9ac000 d9ae000
d9ae000 d9b0000
deac000 deae000
deae000 deb0000
e3ac000 e3ae000
e3ae000 e3b0000
e3b0000 ea48000
ea50000 eb90000
f08c000 f08e000
f08e000 f090000
f58c000 f58e000
f58e000 f590000
fa8c000 fa8e000
fa8e000 fa90000
fa90000 fbd0000
fbd0000 fc45000
fcd0000 fcd5000
fdd0000 fdd1000
fde0000 fde1000
fdf0000 fdf1000
fe00000 fe01000
fe10000 fe11000
fe20000 fe21000
fe30000 fe31000
fe40000 ff80000
ff80000 ff81000
ff90000 ff92000
ffa0000 ffa2000
ffb0000 fff6000
10049000 1004a000     1000 MEM_IMAGE   MEM_COMMIT                                     Image      [MPIWIN32; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\MPIWIN32.DLL"]
10053000 10063000    10000 MEM_IMAGE   MEM_COMMIT                                     Image      [MPIWIN32; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\MPIWIN32.DLL"]
1056c000 1056e000     2000 MEM_PRIVATE MEM_COMMIT  PAGE_READWRITE | PAGE_GUARD        Stack      [~18; 110c.46e4]
1056e000 10570000     2000 MEM_PRIVATE MEM_COMMIT                                     Stack      [~18; 110c.46e4]
10570000 10571000     1000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
105b5000 105b8000     3000 MEM_PRIVATE MEM_COMMIT  PAGE_READWRITE | PAGE_GUARD        <unknown>  
105b8000 105c0000     8000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
105f5000 105f8000     3000 MEM_PRIVATE MEM_COMMIT  PAGE_READWRITE | PAGE_GUARD        <unknown>  
105f8000 10600000     8000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
109b0000 10af0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
10af0000 10c30000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
10c30000 10d70000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
10d70000 10eb0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
10eb0000 10ff0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
10ff0000 11130000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
11130000 11270000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
11270000 113b0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6...]
113b0000 114f0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [..O.........6...]
114f0000 11630000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [..c.........6...]
11630000 11770000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [..w...O.........]
11770000 118b0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [......c.....2P..]
118b0000 119f0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [......w......E..]
119f0000 11b30000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............2P..]
11b30000 11c70000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
11c70000 11db0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
11db0000 11ef0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............2P..]
11ef0000 12030000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [................]
12030000 12170000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [............6s..]
12170000 122b0000   140000 MEM_PRIVATE MEM_COMMIT                                     <unknown>  [.............0..]
127aa000 127ac000     2000 MEM_PRIVATE MEM_COMMIT  PAGE_READWRITE | PAGE_GUARD        Stack      [~20; 110c.53d8]
127ac000 127b0000     4000 MEM_PRIVATE MEM_COMMIT                                     Stack      [~20; 110c.53d8]
12cac000 12cae000     2000 MEM_PRIVATE MEM_COMMIT  PAGE_READWRITE | PAGE_GUARD        Stack      [~19; 110c.54e4]
12cae000 12cb0000     2000 MEM_PRIVATE MEM_COMMIT                                     Stack      [~19; 110c.54e4]
1d014000 1d064000    50000 MEM_IMAGE   MEM_COMMIT                                     Image      [WZIP32; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\WZIP32.DLL"]
32ada000 32adb000     1000 MEM_IMAGE   MEM_COMMIT                                     Image      [cc32100; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\cc32100.dll"]
32adc000 32ade000     2000 MEM_IMAGE   MEM_COMMIT                                     Image      [cc32100; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\cc32100.dll"]
32ae1000 32ae4000     3000 MEM_IMAGE   MEM_COMMIT                                     Image      [cc32100; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\cc32100.dll"]
32aeb000 32aec000     1000 MEM_IMAGE   MEM_COMMIT                                     Image      [cc32100; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\cc32100.dll"]
32af1000 32afe000     d000 MEM_IMAGE   MEM_COMMIT                                     Image      [cc32100; "C:\Program Files (x86)\MHJ-Software\WinSPS-S7-V6\cc32100.dll"]
